,m1,m2,m3,m4,m5,m6
80,aff.nor,aff.nor,chunk,chunk,chunk,end
81,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
82,aff.nor,aff.nor,chunk,chunk,chunk,end
83,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
84,aff.nor,questn,aff.nor,questn,questn,phone
85,questn,chunk,questn,questn,questn,end
86,aff.nor,chunk,aff.nor,aff.nor,chunk,phone
87,aff.nor,aff.nor,aff.nor,chunk,aff.nor,phone
88,questn,questn,aff.nor,chunk,aff.nor,piss.off
89,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
90,questn,aff.nor,questn,aff.nor,questn,end
91,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
92,aff.nor,questn,aff.off,aff.off,aff.off,end
93,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
94,questn,aff.nor,questn,questn,chunk,phone
95,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
96,aff.nor,aff.nor,questn,questn,questn,end
97,questn,aff.nor,chunk,chunk,chunk,end
98,questn,chunk,aff.nor,aff.nor,aff.nor,phone
99,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
100,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
101,aff.nor,aff.nor,chunk,questn,questn,piss.off
102,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
103,questn,aff.nor,aff.nor,piss.off,aff.nor,end
104,questn,aff.nor,questn,aff.nor,aff.nor,end
105,aff.nor,chunk,chunk,aff.nor,aff.nor,end
106,aff.nor,aff.nor,chunk,chunk,chunk,end
107,questn,questn,aff.nor,aff.nor,questn,end
108,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
109,aff.nor,aff.nor,questn,chunk,aff.nor,end
110,aff.nor,questn,chunk,chunk,questn,end
111,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
112,questn,aff.nor,chunk,chunk,questn,end
113,chunk,aff.nor,aff.nor,aff.nor,aff.nor,phone
114,aff.nor,aff.nor,questn,questn,aff.nor,end
115,aff.nor,questn,questn,aff.nor,questn,phone
116,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
117,aff.nor,aff.nor,aff.nor,aff.nor,piss.off,end
118,chunk,aff.nor,questn,questn,aff.nor,end
119,piss.off,aff.nor,chunk,chunk,chunk,end
120,aff.nor,aff.nor,chunk,chunk,chunk,end
121,questn,aff.nor,aff.off,aff.off,aff.off,phone
122,aff.nor,questn,aff.off,aff.off,aff.off,end
123,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
124,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
125,aff.nor,aff.nor,chunk,chunk,questn,end
126,aff.nor,aff.nor,piss.off,aff.nor,aff.nor,end
127,aff.nor,aff.nor,chunk,chunk,questn,end
128,questn,piss.off,chunk,chunk,questn,end
129,questn,aff.nor,questn,questn,questn,end
130,questn,aff.nor,aff.off,aff.off,aff.off,end
131,questn,aff.nor,aff.off,aff.off,aff.off,end
132,aff.nor,aff.nor,chunk,chunk,questn,end
133,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
134,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
135,chunk,questn,aff.nor,aff.nor,aff.nor,end
136,aff.nor,aff.nor,chunk,chunk,questn,end
137,aff.nor,questn,aff.off,aff.off,aff.off,end
138,aff.nor,aff.nor,chunk,chunk,questn,end
139,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
140,aff.nor,questn,aff.nor,aff.nor,questn,phone
141,aff.nor,questn,chunk,chunk,chunk,end
142,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
143,aff.nor,aff.nor,chunk,chunk,questn,end
144,aff.nor,chunk,chunk,aff.nor,aff.nor,end
145,aff.nor,chunk,questn,aff.nor,aff.nor,end
146,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
149,chunk,aff.nor,aff.off,aff.off,aff.off,end
150,aff.nor,aff.nor,chunk,chunk,chunk,end
151,questn,chunk,questn,questn,questn,end
152,aff.nor,chunk,chunk,chunk,chunk,end
153,aff.nor,questn,aff.nor,piss.off,questn,end
154,questn,aff.nor,aff.nor,aff.nor,questn,end
156,aff.nor,aff.nor,questn,aff.nor,piss.off,end
157,aff.nor,questn,aff.off,aff.off,aff.off,end
158,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
160,aff.nor,aff.nor,questn,questn,questn,end
161,aff.nor,aff.nor,questn,aff.nor,questn,end
162,aff.nor,aff.nor,chunk,chunk,chunk,end
163,aff.nor,aff.nor,questn,questn,questn,end
164,aff.nor,questn,chunk,chunk,chunk,end
165,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
166,questn,aff.nor,chunk,aff.nor,questn,phone
167,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
168,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
169,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
171,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
172,questn,questn,chunk,chunk,questn,end
173,chunk,questn,aff.off,aff.off,aff.off,end
174,questn,aff.nor,questn,questn,aff.nor,phone
175,questn,aff.nor,chunk,chunk,questn,end
176,chunk,aff.nor,questn,questn,questn,end
177,aff.nor,aff.nor,chunk,chunk,chunk,end
178,aff.nor,aff.nor,chunk,chunk,chunk,end
179,aff.nor,questn,chunk,chunk,chunk,end
180,questn,aff.nor,chunk,chunk,questn,end
181,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
182,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
183,aff.nor,aff.nor,questn,questn,questn,end
184,questn,aff.nor,questn,aff.nor,questn,end
185,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
186,aff.nor,aff.nor,aff.nor,questn,questn,phone
187,chunk,chunk,chunk,chunk,chunk,end
188,aff.nor,aff.nor,aff.nor,questn,chunk,end
189,aff.nor,aff.nor,questn,questn,questn,end
190,aff.nor,aff.nor,questn,aff.nor,questn,end
191,aff.nor,questn,aff.off,aff.off,aff.off,end
192,aff.nor,aff.nor,chunk,chunk,questn,end
193,piss.off,aff.nor,chunk,chunk,questn,end
194,questn,chunk,aff.nor,questn,aff.nor,end
195,aff.nor,chunk,questn,aff.nor,aff.nor,end
196,aff.nor,aff.nor,aff.nor,questn,piss.off,phone
197,questn,chunk,aff.nor,questn,aff.nor,end
198,aff.nor,questn,chunk,chunk,questn,phone
199,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
200,chunk,piss.off,questn,aff.nor,aff.nor,end
201,questn,questn,questn,aff.nor,aff.nor,phone
202,questn,aff.nor,aff.nor,questn,aff.nor,phone
203,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
204,aff.nor,questn,questn,aff.nor,aff.nor,end
205,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
206,aff.nor,aff.nor,questn,questn,questn,end
207,questn,questn,chunk,chunk,chunk,end
208,aff.nor,aff.nor,questn,questn,piss.off,end
209,chunk,questn,chunk,chunk,chunk,end
210,aff.nor,questn,chunk,chunk,chunk,end
211,aff.nor,aff.nor,questn,aff.nor,aff.nor,phone
212,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
213,aff.nor,questn,questn,aff.nor,aff.nor,end
214,questn,aff.nor,chunk,chunk,questn,end
215,aff.nor,aff.nor,questn,aff.nor,questn,end
216,aff.nor,questn,aff.nor,aff.nor,questn,phone
217,questn,aff.nor,questn,questn,chunk,end
218,aff.nor,aff.nor,aff.nor,aff.nor,chunk,piss.off
219,questn,aff.nor,aff.off,aff.off,aff.off,end
220,chunk,aff.nor,chunk,chunk,questn,end
221,questn,questn,aff.nor,chunk,aff.nor,phone
222,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
224,aff.nor,aff.nor,questn,questn,aff.nor,end
226,aff.nor,questn,questn,questn,questn,end
227,aff.nor,aff.nor,chunk,aff.nor,piss.off,end
228,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
229,aff.nor,questn,aff.nor,chunk,aff.nor,phone
230,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
231,aff.nor,aff.nor,questn,questn,questn,end
233,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
234,aff.nor,questn,questn,aff.nor,aff.nor,end
235,aff.nor,questn,questn,questn,questn,end
236,aff.nor,aff.nor,questn,questn,chunk,piss.off
237,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
238,chunk,aff.nor,chunk,aff.nor,aff.nor,piss.off
239,aff.nor,questn,questn,questn,questn,end
240,questn,aff.nor,chunk,chunk,questn,end
241,questn,aff.nor,questn,questn,questn,end
242,aff.nor,aff.nor,chunk,aff.nor,aff.nor,phone
243,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
244,questn,aff.nor,chunk,chunk,questn,end
245,aff.nor,questn,questn,questn,questn,end
246,questn,aff.nor,questn,aff.nor,chunk,end
247,aff.nor,questn,chunk,chunk,chunk,end
248,aff.nor,aff.nor,aff.nor,piss.off,aff.nor,phone
249,aff.nor,aff.nor,questn,questn,questn,end
250,questn,aff.nor,chunk,aff.nor,aff.nor,end
251,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
252,chunk,aff.nor,chunk,chunk,chunk,end
253,aff.nor,aff.nor,questn,questn,questn,end
254,aff.nor,aff.nor,chunk,chunk,chunk,end
255,piss.off,chunk,aff.off,aff.off,aff.off,end
256,questn,questn,chunk,chunk,questn,end
257,chunk,aff.nor,aff.nor,questn,aff.nor,piss.off
258,aff.nor,questn,chunk,chunk,questn,end
259,chunk,aff.nor,questn,aff.nor,aff.nor,end
260,aff.nor,questn,questn,questn,questn,end
261,questn,aff.nor,chunk,chunk,chunk,end
262,chunk,aff.nor,aff.nor,aff.nor,aff.nor,phone
263,aff.nor,aff.nor,questn,questn,questn,end
264,aff.nor,aff.nor,questn,aff.nor,chunk,end
265,aff.nor,aff.nor,chunk,chunk,chunk,end
266,aff.nor,questn,questn,aff.nor,questn,phone
267,aff.nor,chunk,aff.nor,aff.nor,piss.off,end
268,questn,aff.nor,chunk,chunk,chunk,end
269,aff.nor,questn,aff.nor,chunk,aff.nor,end
270,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
271,chunk,chunk,aff.nor,questn,aff.nor,phone
272,aff.nor,aff.nor,chunk,chunk,aff.nor,end
273,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
274,aff.nor,questn,aff.nor,aff.nor,aff.nor,phone
275,aff.nor,aff.nor,chunk,chunk,questn,end
276,questn,aff.nor,chunk,chunk,questn,end
277,piss.off,aff.nor,chunk,chunk,chunk,end
278,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
279,aff.nor,aff.nor,chunk,chunk,chunk,end
280,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
281,questn,aff.nor,aff.off,aff.off,aff.off,end
282,aff.nor,aff.nor,chunk,chunk,chunk,end
283,questn,questn,chunk,chunk,questn,end
284,aff.nor,aff.nor,aff.nor,questn,questn,end
285,aff.nor,chunk,aff.nor,questn,aff.nor,end
286,aff.nor,questn,chunk,chunk,questn,end
287,aff.nor,aff.nor,questn,questn,questn,end
288,aff.nor,piss.off,aff.off,aff.off,aff.off,end
289,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
290,aff.nor,aff.nor,aff.nor,questn,chunk,end
291,questn,questn,questn,questn,questn,end
292,aff.nor,chunk,questn,questn,aff.nor,end
293,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
294,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
295,questn,questn,aff.off,aff.off,aff.off,end
296,aff.nor,aff.nor,chunk,chunk,chunk,end
297,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
298,aff.nor,questn,questn,questn,questn,end
299,chunk,aff.nor,questn,aff.nor,aff.nor,end
303,chunk,chunk,chunk,chunk,questn,end
304,questn,aff.nor,questn,questn,questn,end
305,chunk,aff.nor,questn,questn,aff.nor,phone
306,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
307,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
308,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
309,aff.nor,chunk,questn,questn,questn,end
310,piss.off,aff.nor,aff.nor,aff.nor,chunk,end
311,questn,chunk,aff.nor,aff.nor,questn,phone
312,aff.nor,questn,aff.nor,chunk,aff.nor,phone
313,aff.nor,aff.nor,chunk,chunk,chunk,end
314,questn,aff.nor,piss.off,aff.nor,questn,end
316,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
317,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
318,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
319,aff.nor,questn,questn,aff.nor,aff.nor,end
