,m1,m2,m3,m4,m5,m6
15709,aff.nor,aff.nor,aff.nor,chunk,questn,end
15710,questn,questn,aff.nor,questn,aff.nor,end
15711,aff.nor,aff.nor,questn,questn,questn,end
15713,aff.nor,questn,questn,questn,questn,end
15715,aff.nor,aff.nor,aff.nor,questn,questn,phone
15716,questn,aff.nor,chunk,chunk,chunk,end
15717,chunk,aff.nor,questn,aff.nor,aff.nor,end
15718,chunk,aff.nor,chunk,aff.nor,aff.nor,end
15719,aff.nor,aff.nor,chunk,chunk,questn,end
15721,aff.nor,aff.nor,chunk,chunk,questn,end
15722,aff.nor,aff.nor,aff.nor,questn,questn,phone
15723,questn,aff.nor,aff.nor,aff.nor,chunk,end
15726,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
15727,chunk,aff.nor,aff.nor,aff.nor,aff.nor,phone
15728,aff.nor,questn,chunk,chunk,questn,end
15730,questn,aff.nor,questn,questn,questn,end
15731,aff.nor,questn,questn,aff.nor,aff.nor,end
15732,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15734,aff.nor,aff.nor,questn,questn,questn,end
15735,chunk,aff.nor,chunk,aff.nor,aff.nor,end
15736,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15737,aff.nor,aff.nor,questn,questn,piss.off,end
15739,chunk,aff.nor,chunk,chunk,questn,end
15740,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15742,aff.nor,aff.nor,chunk,aff.nor,questn,end
15743,aff.nor,chunk,questn,questn,questn,end
15744,aff.nor,questn,aff.nor,chunk,chunk,end
15745,aff.nor,aff.nor,chunk,chunk,questn,end
15746,aff.nor,questn,questn,questn,questn,phone
15747,chunk,questn,aff.nor,aff.nor,aff.nor,end
15748,aff.nor,aff.nor,questn,aff.nor,questn,end
15749,questn,aff.nor,chunk,aff.nor,questn,end
15750,aff.nor,aff.nor,chunk,chunk,chunk,phone
15751,questn,questn,chunk,chunk,chunk,end
15752,questn,questn,chunk,chunk,chunk,end
15753,questn,aff.nor,chunk,aff.nor,aff.nor,end
15754,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15755,questn,aff.nor,questn,questn,questn,end
15756,questn,questn,questn,questn,questn,end
15757,aff.nor,aff.nor,questn,questn,questn,end
15758,aff.nor,questn,chunk,chunk,chunk,end
15759,questn,aff.nor,aff.off,aff.off,aff.off,end
15760,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
15761,aff.nor,questn,chunk,aff.nor,aff.nor,end
15762,aff.nor,aff.nor,aff.nor,questn,questn,end
15763,aff.nor,aff.nor,chunk,chunk,chunk,end
15764,questn,chunk,questn,questn,aff.nor,piss.off
15765,questn,aff.nor,chunk,chunk,chunk,end
15766,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
15767,aff.nor,aff.nor,chunk,chunk,questn,end
15768,questn,questn,questn,questn,questn,end
15769,aff.nor,questn,aff.nor,questn,questn,end
15770,aff.nor,questn,chunk,chunk,questn,end
15771,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
15772,piss.off,aff.nor,aff.off,aff.off,aff.off,end
15773,aff.nor,aff.nor,chunk,chunk,questn,end
15774,questn,aff.nor,aff.nor,questn,aff.nor,end
15775,questn,chunk,aff.nor,aff.nor,aff.nor,end
15776,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
15777,aff.nor,aff.nor,questn,questn,questn,end
15778,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
15779,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
15780,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15781,aff.nor,aff.nor,questn,questn,questn,end
15782,questn,chunk,questn,questn,questn,end
15783,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15784,aff.nor,aff.nor,questn,questn,questn,end
15785,questn,aff.nor,chunk,chunk,chunk,end
15786,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
15787,aff.nor,chunk,questn,questn,questn,end
15788,questn,questn,chunk,chunk,chunk,end
15789,chunk,aff.nor,aff.nor,chunk,chunk,end
15790,aff.nor,questn,chunk,aff.nor,aff.nor,phone
15791,questn,aff.nor,aff.off,aff.off,aff.off,end
15792,aff.nor,aff.nor,chunk,chunk,chunk,end
15793,aff.nor,questn,aff.nor,aff.nor,aff.nor,piss.off
15795,questn,aff.nor,chunk,chunk,questn,end
15796,questn,aff.nor,aff.nor,questn,aff.nor,end
15797,aff.nor,questn,chunk,chunk,questn,end
15798,chunk,aff.nor,aff.off,aff.off,aff.off,end
15799,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15800,aff.nor,questn,aff.nor,aff.nor,chunk,end
15801,aff.nor,aff.nor,aff.nor,aff.nor,questn,phone
15802,questn,questn,aff.off,aff.off,aff.off,piss.off
15803,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15804,aff.nor,questn,questn,questn,questn,end
15805,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15806,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15807,questn,questn,chunk,chunk,chunk,end
15808,questn,aff.nor,chunk,aff.nor,aff.nor,end
15809,aff.nor,aff.nor,questn,questn,questn,end
15810,chunk,aff.nor,aff.nor,questn,aff.nor,end
15811,aff.nor,questn,aff.nor,questn,aff.nor,end
15812,piss.off,questn,aff.off,aff.off,aff.off,end
15813,questn,aff.nor,questn,aff.nor,aff.nor,end
15814,chunk,aff.nor,chunk,chunk,questn,end
15815,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
15816,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
15817,aff.nor,aff.nor,chunk,chunk,chunk,end
15818,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
15819,questn,questn,aff.nor,aff.nor,aff.nor,end
15820,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15821,aff.nor,aff.nor,chunk,chunk,questn,end
15822,chunk,aff.nor,aff.nor,aff.nor,chunk,phone
15823,aff.nor,aff.nor,aff.nor,chunk,questn,end
15824,questn,chunk,aff.off,aff.off,aff.off,end
15825,aff.nor,aff.nor,questn,questn,questn,end
15826,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15827,aff.nor,aff.nor,questn,questn,questn,end
15828,aff.nor,aff.nor,aff.nor,questn,piss.off,phone
15829,aff.nor,piss.off,questn,questn,aff.nor,end
15830,aff.nor,aff.nor,aff.nor,aff.nor,piss.off,phone
15831,aff.nor,aff.nor,piss.off,aff.nor,aff.nor,end
15832,questn,questn,chunk,questn,questn,end
15833,aff.nor,questn,questn,questn,questn,end
15834,aff.nor,aff.nor,questn,questn,questn,end
15835,aff.nor,chunk,aff.off,aff.off,aff.off,end
15836,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15837,questn,aff.nor,chunk,chunk,questn,end
15838,aff.nor,questn,questn,aff.nor,chunk,piss.off
15839,aff.nor,questn,aff.nor,aff.nor,questn,phone
15840,aff.nor,aff.nor,chunk,chunk,chunk,end
15841,aff.nor,questn,questn,questn,questn,end
15842,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
15843,aff.nor,questn,aff.nor,aff.nor,questn,phone
15844,chunk,questn,aff.nor,chunk,piss.off,end
15845,aff.nor,aff.nor,chunk,chunk,questn,end
15846,aff.nor,questn,chunk,chunk,chunk,end
15847,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15848,aff.nor,aff.nor,chunk,chunk,questn,end
15849,aff.nor,aff.nor,chunk,chunk,questn,end
15850,questn,aff.nor,questn,questn,questn,end
15851,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15852,aff.nor,questn,aff.nor,aff.nor,questn,end
15853,questn,aff.nor,chunk,chunk,chunk,end
15854,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15855,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
15856,questn,questn,aff.nor,aff.nor,questn,end
15857,questn,aff.nor,chunk,chunk,chunk,end
15858,chunk,aff.nor,aff.nor,aff.nor,questn,phone
15859,aff.nor,aff.nor,chunk,chunk,chunk,end
15860,questn,aff.nor,aff.off,aff.off,aff.off,end
15861,aff.nor,questn,questn,aff.nor,questn,end
15862,aff.nor,questn,chunk,chunk,questn,end
15863,questn,questn,aff.nor,aff.nor,aff.nor,piss.off
15864,questn,aff.nor,aff.off,aff.off,aff.off,end
15865,aff.nor,piss.off,aff.off,aff.off,aff.off,end
15866,questn,aff.nor,piss.off,aff.nor,aff.nor,end
15867,piss.off,aff.nor,aff.off,aff.off,aff.off,piss.off
15868,aff.nor,aff.nor,chunk,chunk,chunk,end
15869,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15870,questn,aff.nor,aff.nor,questn,aff.nor,end
15871,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
15872,questn,aff.nor,chunk,chunk,questn,end
15873,aff.nor,aff.nor,questn,questn,questn,end
15874,aff.nor,aff.nor,chunk,chunk,chunk,end
15875,chunk,questn,piss.off,aff.nor,aff.nor,end
15876,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15877,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15878,aff.nor,aff.nor,chunk,chunk,chunk,end
15879,questn,aff.nor,questn,questn,questn,end
15880,aff.nor,questn,questn,questn,questn,end
15881,aff.nor,questn,chunk,chunk,chunk,end
15882,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
15883,aff.nor,chunk,chunk,chunk,questn,end
15884,aff.nor,aff.nor,aff.nor,questn,questn,end
15885,questn,questn,aff.off,aff.off,aff.off,end
15886,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
15887,questn,questn,aff.nor,aff.nor,aff.nor,phone
15888,questn,aff.nor,questn,questn,questn,end
15889,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15890,chunk,aff.nor,chunk,chunk,questn,end
15891,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15892,aff.nor,aff.nor,chunk,chunk,chunk,end
15893,questn,aff.nor,questn,questn,questn,end
15894,aff.nor,aff.nor,chunk,chunk,chunk,end
15895,questn,aff.nor,chunk,aff.nor,aff.nor,end
15896,aff.nor,questn,questn,aff.nor,aff.nor,end
15897,aff.nor,aff.nor,chunk,chunk,chunk,end
15898,questn,questn,chunk,chunk,questn,end
15899,chunk,questn,chunk,aff.nor,aff.nor,end
15900,questn,chunk,aff.off,aff.off,aff.off,end
15901,aff.nor,aff.nor,chunk,chunk,questn,end
15902,aff.nor,questn,chunk,chunk,chunk,end
15903,aff.nor,questn,questn,questn,questn,end
15904,aff.nor,aff.nor,questn,questn,questn,end
15905,aff.nor,aff.nor,chunk,chunk,chunk,end
15906,questn,aff.nor,chunk,chunk,chunk,end
15907,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
15908,chunk,aff.nor,chunk,aff.nor,aff.nor,end
15909,aff.nor,aff.nor,aff.nor,questn,questn,phone
15910,questn,aff.nor,aff.nor,chunk,aff.nor,end
15911,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15912,aff.nor,aff.nor,chunk,chunk,chunk,end
15913,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
15914,aff.nor,aff.nor,chunk,chunk,questn,end
15915,aff.nor,aff.nor,chunk,chunk,chunk,end
15916,aff.nor,aff.nor,chunk,chunk,questn,end
15917,aff.nor,aff.nor,questn,questn,questn,end
15918,chunk,questn,questn,questn,questn,end
15919,aff.nor,questn,questn,aff.nor,questn,end
15920,aff.nor,questn,aff.nor,questn,aff.nor,piss.off
15921,aff.nor,chunk,aff.off,aff.off,aff.off,end
15922,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
15923,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15924,aff.nor,aff.nor,questn,questn,questn,end
15925,aff.nor,aff.nor,chunk,chunk,chunk,end
15926,questn,aff.nor,aff.nor,aff.nor,questn,end
15927,questn,aff.nor,chunk,chunk,chunk,end
15928,questn,chunk,questn,questn,questn,phone
15929,questn,aff.nor,chunk,chunk,questn,end
15930,aff.nor,questn,chunk,chunk,chunk,end
15931,chunk,questn,aff.off,aff.off,aff.off,piss.off
15932,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
15933,aff.nor,questn,questn,questn,aff.nor,phone
15934,piss.off,aff.nor,questn,questn,questn,end
15935,questn,questn,chunk,chunk,chunk,end
15937,questn,questn,aff.nor,aff.nor,aff.nor,end
15939,questn,questn,aff.nor,chunk,questn,end
15940,aff.nor,aff.nor,chunk,chunk,chunk,end
15941,aff.nor,aff.nor,questn,aff.nor,questn,end
15942,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
15943,aff.nor,aff.nor,chunk,questn,aff.nor,end
15944,aff.nor,aff.nor,questn,questn,questn,end
15945,aff.nor,chunk,questn,questn,questn,end
15946,aff.nor,aff.nor,chunk,chunk,chunk,end
15947,questn,questn,aff.nor,aff.nor,chunk,phone
15948,questn,aff.nor,questn,questn,questn,end
15949,questn,aff.nor,aff.nor,aff.nor,chunk,end
15950,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15951,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15952,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
15953,aff.nor,aff.nor,chunk,chunk,chunk,end
15954,aff.nor,chunk,aff.nor,questn,aff.nor,phone
15955,chunk,aff.nor,aff.nor,questn,aff.nor,piss.off
15956,aff.nor,aff.nor,questn,questn,aff.nor,piss.off
15957,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15958,aff.nor,aff.nor,questn,questn,questn,phone
15959,questn,questn,chunk,chunk,questn,end
15960,chunk,questn,chunk,chunk,questn,end
15961,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
15962,aff.nor,chunk,questn,questn,questn,end
15963,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
15964,aff.nor,aff.nor,aff.nor,aff.nor,piss.off,phone
15965,aff.nor,aff.nor,questn,questn,questn,end
15966,aff.nor,questn,aff.nor,chunk,aff.nor,phone
15967,aff.nor,aff.nor,questn,questn,questn,end
15968,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
15969,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
15970,aff.nor,piss.off,questn,questn,questn,end
15971,questn,questn,chunk,chunk,questn,end
15972,aff.nor,questn,aff.nor,aff.nor,chunk,end
15973,aff.nor,chunk,aff.nor,chunk,questn,end
15974,aff.nor,aff.nor,chunk,chunk,chunk,end
15977,aff.nor,questn,questn,questn,questn,phone
15978,aff.nor,questn,chunk,chunk,chunk,end
15979,aff.nor,aff.nor,questn,questn,questn,end
15980,chunk,aff.nor,aff.nor,aff.nor,questn,phone
15982,aff.nor,chunk,chunk,chunk,questn,end
15983,aff.nor,aff.nor,questn,questn,questn,end
15984,aff.nor,questn,aff.off,aff.off,aff.off,end
15985,aff.nor,chunk,chunk,chunk,chunk,end
15986,aff.nor,aff.nor,questn,questn,aff.nor,end
15987,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
15988,questn,aff.nor,chunk,chunk,questn,end
15989,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15990,aff.nor,aff.nor,questn,questn,questn,end
15991,aff.nor,aff.nor,aff.nor,aff.nor,questn,end
15992,aff.nor,questn,aff.nor,aff.nor,piss.off,end
15993,questn,aff.nor,questn,aff.nor,aff.nor,end
15994,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
15995,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
15996,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
15997,aff.nor,piss.off,aff.nor,aff.nor,aff.nor,piss.off
15998,aff.nor,aff.nor,questn,piss.off,aff.nor,end
15999,aff.nor,questn,questn,questn,questn,end
16000,questn,aff.nor,questn,aff.nor,aff.nor,end
16001,chunk,questn,aff.off,aff.off,aff.off,end
16002,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16003,questn,aff.nor,chunk,chunk,questn,end
16004,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
16005,questn,chunk,chunk,chunk,chunk,end
16006,aff.nor,aff.nor,chunk,chunk,questn,end
16008,questn,aff.nor,chunk,chunk,chunk,end
16009,questn,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
16010,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
16011,aff.nor,aff.nor,chunk,chunk,chunk,end
16012,aff.nor,chunk,questn,questn,questn,end
16013,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16014,aff.nor,aff.nor,questn,questn,questn,end
16015,questn,aff.nor,chunk,questn,chunk,piss.off
16016,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
16017,aff.nor,aff.nor,chunk,chunk,chunk,end
16019,aff.nor,aff.nor,questn,chunk,chunk,end
16020,questn,questn,chunk,chunk,questn,end
16021,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16022,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
16023,questn,aff.nor,aff.off,aff.off,aff.off,end
16025,chunk,aff.nor,aff.off,aff.off,aff.off,end
16026,aff.nor,aff.nor,questn,questn,questn,end
16027,aff.nor,aff.nor,chunk,chunk,chunk,end
16028,questn,aff.nor,aff.nor,questn,aff.nor,phone
16029,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
16030,questn,aff.nor,aff.nor,aff.nor,aff.nor,phone
16031,aff.nor,aff.nor,questn,questn,questn,end
16032,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
16033,chunk,aff.nor,aff.nor,aff.nor,aff.nor,end
16034,aff.nor,questn,aff.nor,aff.nor,questn,end
16035,chunk,questn,aff.nor,chunk,questn,end
16036,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16037,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16038,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
16039,questn,questn,questn,questn,questn,end
16040,questn,aff.nor,questn,questn,questn,end
16041,aff.nor,questn,chunk,chunk,questn,end
16042,questn,aff.nor,aff.nor,aff.nor,aff.nor,end
16043,aff.nor,aff.nor,chunk,chunk,questn,end
16044,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16045,questn,questn,questn,questn,questn,end
16046,aff.nor,piss.off,aff.nor,questn,aff.nor,end
16047,aff.nor,questn,aff.nor,piss.off,aff.nor,piss.off
16048,chunk,aff.nor,chunk,chunk,questn,end
16051,aff.nor,aff.nor,chunk,chunk,chunk,end
16052,aff.nor,questn,chunk,chunk,chunk,end
16053,aff.nor,aff.nor,questn,chunk,aff.nor,end
16054,aff.nor,aff.nor,questn,questn,questn,end
16055,aff.nor,aff.nor,aff.nor,questn,chunk,phone
16056,aff.nor,aff.nor,questn,aff.nor,questn,end
16057,aff.nor,chunk,questn,questn,questn,end
16058,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
16059,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
16060,questn,aff.nor,aff.off,aff.off,aff.off,end
16061,aff.nor,aff.nor,questn,aff.nor,questn,phone
16062,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
16063,questn,aff.nor,chunk,aff.nor,aff.nor,end
16064,chunk,aff.nor,questn,aff.nor,aff.nor,end
16065,questn,aff.nor,questn,questn,questn,end
16066,chunk,chunk,chunk,chunk,questn,end
16067,aff.nor,questn,chunk,chunk,questn,end
16068,aff.nor,aff.nor,questn,questn,questn,end
16069,questn,aff.nor,questn,questn,questn,end
16070,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16071,aff.nor,piss.off,aff.nor,aff.nor,chunk,end
16072,aff.nor,aff.nor,aff.nor,piss.off,aff.nor,piss.off
16073,aff.nor,aff.nor,piss.off,questn,aff.nor,end
16074,aff.nor,aff.nor,aff.nor,chunk,aff.nor,end
16075,aff.nor,questn,chunk,chunk,chunk,end
16076,questn,aff.nor,chunk,chunk,chunk,end
16077,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16078,aff.nor,aff.nor,chunk,chunk,questn,end
16079,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
16080,chunk,aff.nor,chunk,aff.nor,questn,end
16081,aff.nor,aff.nor,questn,questn,questn,end
16082,aff.nor,aff.nor,chunk,chunk,chunk,end
16083,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16084,questn,aff.nor,chunk,aff.nor,aff.nor,phone
16085,aff.nor,aff.nor,chunk,chunk,chunk,end
16086,aff.nor,chunk,aff.nor,aff.nor,aff.nor,phone
16087,aff.nor,aff.nor,questn,questn,questn,end
16088,questn,aff.nor,questn,questn,questn,end
16089,questn,aff.nor,aff.nor,questn,aff.nor,end
16090,questn,questn,chunk,chunk,chunk,end
16091,questn,questn,chunk,chunk,questn,end
16092,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
16093,aff.nor,aff.nor,questn,aff.nor,chunk,phone
16094,piss.off,aff.nor,aff.nor,aff.nor,chunk,end
16095,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
16096,aff.nor,aff.nor,chunk,chunk,chunk,end
16097,aff.nor,aff.nor,questn,questn,questn,end
16098,aff.nor,questn,questn,questn,questn,end
16099,aff.nor,aff.nor,chunk,chunk,chunk,end
16100,questn,questn,chunk,chunk,questn,end
16102,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16103,aff.nor,aff.nor,chunk,chunk,chunk,end
16107,questn,aff.nor,chunk,chunk,chunk,end
16108,aff.nor,questn,aff.nor,questn,aff.nor,end
16110,aff.nor,aff.nor,questn,questn,questn,end
16111,aff.nor,aff.nor,questn,questn,questn,end
16112,aff.nor,aff.nor,questn,chunk,aff.nor,end
16113,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
16116,aff.nor,aff.nor,questn,questn,questn,end
16117,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
16118,aff.nor,aff.nor,chunk,chunk,questn,end
16120,aff.nor,chunk,aff.off,aff.off,aff.off,end
16122,aff.nor,aff.nor,chunk,aff.nor,questn,piss.off
16123,aff.nor,chunk,aff.nor,aff.nor,chunk,phone
16124,questn,questn,questn,piss.off,aff.nor,end
16125,aff.nor,aff.nor,chunk,piss.off,questn,end
16126,questn,aff.nor,chunk,aff.nor,aff.nor,end
16127,aff.nor,questn,chunk,chunk,questn,end
16128,questn,aff.nor,chunk,chunk,questn,end
16129,aff.nor,questn,chunk,chunk,chunk,end
16130,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
16131,aff.nor,aff.nor,questn,questn,questn,end
16132,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
16133,chunk,chunk,aff.nor,aff.nor,aff.nor,phone
16134,aff.nor,aff.nor,aff.nor,questn,questn,end
16135,questn,aff.nor,chunk,aff.nor,aff.nor,end
16136,questn,questn,aff.nor,questn,chunk,piss.off
16137,aff.nor,aff.nor,chunk,chunk,questn,end
16138,aff.nor,aff.nor,chunk,chunk,questn,end
16139,questn,aff.nor,aff.nor,chunk,aff.nor,end
16140,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,piss.off
16141,chunk,aff.nor,questn,chunk,aff.nor,phone
16143,chunk,aff.nor,questn,questn,aff.nor,end
16146,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
16147,piss.off,aff.nor,chunk,chunk,chunk,end
16148,aff.nor,chunk,questn,aff.nor,chunk,phone
16149,aff.nor,questn,aff.off,aff.off,aff.off,end
16151,questn,chunk,aff.nor,chunk,questn,end
16152,aff.nor,aff.nor,aff.nor,chunk,aff.nor,phone
16153,aff.nor,aff.nor,chunk,chunk,chunk,end
16154,chunk,aff.nor,questn,chunk,aff.nor,phone
16155,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
16156,aff.nor,chunk,chunk,chunk,questn,end
16158,questn,questn,questn,piss.off,questn,end
16159,aff.nor,piss.off,chunk,chunk,chunk,end
16160,aff.nor,aff.nor,questn,questn,questn,end
16161,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
16162,chunk,aff.nor,questn,questn,questn,end
16163,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
16164,questn,aff.nor,aff.nor,aff.nor,questn,phone
16165,questn,aff.nor,aff.off,aff.off,aff.off,end
16166,aff.nor,aff.nor,chunk,chunk,chunk,end
16167,aff.nor,chunk,aff.off,aff.off,aff.off,piss.off
16168,questn,questn,aff.nor,aff.nor,aff.nor,phone
16169,aff.nor,piss.off,questn,aff.nor,aff.nor,piss.off
16170,aff.nor,aff.nor,chunk,chunk,questn,end
16171,chunk,questn,aff.nor,piss.off,aff.nor,end
16172,aff.nor,questn,questn,questn,questn,end
16173,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
16174,aff.nor,aff.nor,questn,aff.nor,questn,end
16175,aff.nor,questn,chunk,chunk,questn,end
16176,aff.nor,aff.nor,chunk,chunk,chunk,end
16177,aff.nor,questn,aff.nor,aff.nor,chunk,end
16178,questn,aff.nor,aff.off,aff.off,aff.off,piss.off
16179,aff.nor,questn,aff.nor,chunk,aff.nor,end
16180,aff.nor,aff.nor,chunk,chunk,chunk,end
16181,aff.nor,questn,aff.nor,piss.off,questn,phone
16182,aff.nor,questn,aff.nor,aff.nor,questn,end
16183,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16184,aff.nor,aff.nor,questn,aff.nor,questn,end
16185,piss.off,aff.nor,aff.off,aff.off,aff.off,end
16186,aff.nor,aff.nor,aff.nor,aff.nor,chunk,phone
16187,aff.nor,aff.nor,chunk,chunk,questn,end
16188,questn,aff.nor,questn,questn,questn,end
16189,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,end
16191,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
16192,chunk,aff.nor,aff.off,aff.off,aff.off,piss.off
16193,aff.nor,aff.nor,aff.nor,aff.nor,chunk,end
16194,aff.nor,aff.nor,questn,questn,questn,end
16195,aff.nor,aff.nor,questn,aff.nor,questn,end
16196,aff.nor,aff.nor,questn,questn,questn,end
16197,aff.nor,aff.nor,aff.nor,questn,questn,end
16198,aff.nor,questn,aff.off,aff.off,aff.off,piss.off
16199,chunk,aff.nor,chunk,chunk,chunk,end
16200,aff.nor,chunk,aff.nor,aff.nor,aff.nor,end
16201,piss.off,chunk,chunk,chunk,chunk,end
16202,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
16203,aff.nor,aff.nor,chunk,aff.nor,aff.nor,end
16204,aff.nor,aff.nor,questn,questn,questn,end
16205,aff.nor,aff.nor,aff.nor,questn,aff.nor,end
16206,aff.nor,aff.nor,aff.off,aff.off,aff.off,end
16207,aff.nor,aff.nor,questn,aff.nor,questn,end
16208,aff.nor,aff.nor,questn,aff.nor,aff.nor,end
16209,aff.nor,chunk,aff.off,aff.off,aff.off,end
16210,aff.nor,questn,aff.nor,aff.nor,aff.nor,end
16211,questn,aff.nor,questn,piss.off,questn,end
16212,aff.nor,aff.nor,aff.off,aff.off,aff.off,piss.off
16213,aff.nor,aff.nor,aff.nor,aff.nor,aff.nor,phone
16214,questn,aff.nor,chunk,chunk,questn,end
16215,aff.nor,aff.nor,aff.nor,chunk,piss.off,end
16216,aff.nor,aff.nor,questn,questn,questn,end
16217,chunk,aff.nor,aff.off,aff.off,aff.off,piss.off
16218,aff.nor,aff.nor,chunk,chunk,questn,end
16219,aff.nor,aff.nor,aff.nor,questn,questn,end
16220,aff.nor,aff.nor,chunk,chunk,chunk,end
16221,aff.nor,aff.nor,chunk,chunk,chunk,end
16222,chunk,aff.nor,aff.nor,chunk,aff.nor,end
16223,aff.nor,aff.nor,questn,questn,questn,end
16224,aff.nor,aff.nor,questn,chunk,aff.nor,phone
16225,aff.nor,aff.nor,chunk,chunk,chunk,end
